Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 00:41:58.4;0;Good;Good;6198634
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 01:41:58.0;0;Good;Good;6198635
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 02:41:58.0;0;Good;Good;6198636
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 03:41:57.9;0;Good;Good;6198637
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 04:41:57.4;0;Good;Good;6198638
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 05:41:57.0;0;Good;Good;6198639
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 06:41:56.2;0;Good;Good;6198640
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 07:41:55.8;0;Good;Good;6198641
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 08:41:55.5;0;Good;Good;6198642
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 09:41:54.9;0;Good;Good;6198643
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 10:41:54.4;0;Good;Good;6198644
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 11:41:53.5;0;Good;Good;6198645
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 12:41:52.9;0;Good;Good;6198646
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 13:41:52.9;0;Good;Good;6198647
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 14:41:52.4;0;Good;Good;6198648
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 15:41:52.4;0;Good;Good;6198649
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 16:41:52.1;0;Good;Good;6198650
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 17:41:51.3;0;Good;Good;6198651
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 18:41:50.6;0;Good;Good;6198652
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 19:41:50.3;0;Good;Good;6198653
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 20:41:50.1;0;Good;Good;6198654
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 21:41:49.4;0;Good;Good;6198655
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 22:41:48.7;0;Good;Good;6198656
FRD_0595_QIR0999.2;NIR Sonde H2O;06-APR-21 23:41:47.8;0;Good;Good;6198657
