Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:07.0;0,4357675;Good;Good;63232282
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:08.1;0,4340133;Good;Good;63232283
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:10.1;0,4340133;Good;Good;63232284
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:12.2;0,4330042;Good;Good;63232285
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:15.2;0,432487;Good;Good;63232286
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:16.3;0,4308883;Good;Good;63232287
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:31.6;0,4300672;Good;Good;63232288
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:39.8;0,4301975;Good;Good;63232289
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:40.8;0,4280997;Good;Good;63232290
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:45.9;0,427879;Good;Good;63232291
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:47.0;0,4297526;Good;Good;63232292
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:49.0;0,4297526;Good;Good;63232293
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:50.0;0,4282697;Good;Good;63232294
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:54.1;0,4275355;Good;Good;63232295
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:00:55.1;0,4295247;Good;Good;63232296
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:10.5;0,4292715;Good;Good;63232297
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:11.5;0,433044;Good;Good;63232298
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:18.6;0,4329934;Good;Good;63232299
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:19.7;0,4350586;Good;Good;63232300
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:21.7;0,4350586;Good;Good;63232301
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:22.7;0,4340206;Good;Good;63232302
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:24.8;0,4340206;Good;Good;63232303
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:25.8;0,4320566;Good;Good;63232304
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:30.9;0,4313043;Good;Good;63232305
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:31.9;0,4299479;Good;Good;63232306
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:37.0;0,4308124;Good;Good;63232307
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:40.1;0,4311234;Good;Good;63232308
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:41.1;0,4293873;Good;Good;63232309
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:45.3;0,4291739;Good;Good;63232310
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:46.3;0,4278175;Good;Good;63232311
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:48.3;0,4278175;Good;Good;63232312
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:49.4;0,4267397;Good;Good;63232313
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:51.5;0,4267397;Good;Good;63232314
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:52.5;0,4278971;Good;Good;63232315
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:56.6;0,4284469;Good;Good;63232316
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:01:59.7;0,4289822;Good;Good;63232317
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:00.7;0,4306713;Good;Good;63232318
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:05.9;0,4301215;Good;Good;63232319
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:06.9;0,4290473;Good;Good;63232320
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:08.9;0,4290473;Good;Good;63232321
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:09.9;0,4303928;Good;Good;63232322
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:15.0;0,4299552;Good;Good;63232323
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:16.1;0,4320385;Good;Good;63232324
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:19.1;0,4320385;Good;Good;63232325
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:20.2;0,434404;Good;Good;63232326
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:31.5;0,4343642;Good;Good;63232327
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:32.5;0,4327944;Good;Good;63232328
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:36.6;0,4332248;Good;Good;63232329
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:37.6;0,4357386;Good;Good;63232330
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:45.9;0,4365885;Good;Good;63232331
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:46.9;0,4343316;Good;Good;63232332
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:48.9;0,4343316;Good;Good;63232333
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:49.9;0,4314851;Good;Good;63232334
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:52.0;0,4314851;Good;Good;63232335
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:02:53.0;0,4327908;Good;Good;63232336
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:00.2;0,4334491;Good;Good;63232337
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:01.2;0,4349031;Good;Good;63232338
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:03.2;0,4349031;Good;Good;63232339
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:04.2;0,4333912;Good;Good;63232340
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:09.4;0,4325159;Good;Good;63232341
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:15.5;0,4305266;Good;Good;63232342
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:18.5;0,4330403;Good;Good;63232343
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:20.6;0,4330403;Good;Good;63232344
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:21.6;0,4310547;Good;Good;63232345
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:23.7;0,4310547;Good;Good;63232346
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:24.7;0,4323242;Good;Good;63232347
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:30.8;0,4321904;Good;Good;63232348
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:31.9;0,4296622;Good;Good;63232349
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:33.9;0,4296622;Good;Good;63232350
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:34.9;0,4315285;Good;Good;63232351
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:40.0;0,4306641;Good;Good;63232352
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:41.0;0,4286892;Good;Good;63232353
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:43.1;0,4286892;Good;Good;63232354
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:44.1;0,4301071;Good;Good;63232355
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:46.2;0,4301071;Good;Good;63232356
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:47.2;0,4288195;Good;Good;63232357
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:49.2;0,4288195;Good;Good;63232358
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:50.3;0,4277307;Good;Good;63232359
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:55.4;0,4280201;Good;Good;63232360
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:03:56.4;0,426038;Good;Good;63232361
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:00.5;0,4262696;Good;Good;63232362
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:01.5;0,4284071;Good;Good;63232363
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:04.6;0,4284071;Good;Good;63232364
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:05.6;0,4266168;Good;Good;63232365
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:06.6;0,4266168;Good;Good;63232366
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:07.7;0,4281033;Good;Good;63232367
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:17.9;0,4281756;Good;Good;63232368
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:18.9;0,4298249;Good;Good;63232369
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:24.0;0,4291667;Good;Good;63232370
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:25.1;0,4280961;Good;Good;63232371
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:33.3;0,4271015;Good;Good;63232372
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:34.3;0,4302228;Good;Good;63232373
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:48.6;0,4306496;Good;Good;63232374
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:49.7;0,4318396;Good;Good;63232375
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:54.8;0,4322736;Good;Good;63232376
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:55.8;0,4343895;Good;Good;63232377
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:57.8;0,4343895;Good;Good;63232378
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:04:58.9;0,4355541;Good;Good;63232379
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:03.9;0,4354565;Good;Good;63232380
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:05.0;0,4338252;Good;Good;63232381
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:07.0;0,4338252;Good;Good;63232382
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:08.0;0,4319155;Good;Good;63232383
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:10.1;0,4319155;Good;Good;63232384
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:11.1;0,4339446;Good;Good;63232385
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:16.2;0,4346354;Good;Good;63232386
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:17.2;0,4369466;Good;Good;63232387
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:19.3;0,4369466;Good;Good;63232388
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:20.3;0,4336842;Good;Good;63232389
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:27.5;0,432751;Good;Good;63232390
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:28.5;0,4311162;Good;Good;63232391
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:30.6;0,4311162;Good;Good;63232392
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:31.6;0,4324038;Good;Good;63232393
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:33.6;0,4324038;Good;Good;63232394
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:34.6;0,4313477;Good;Good;63232395
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:35.7;0,4313477;Good;Good;63232396
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:36.7;0,4341652;Good;Good;63232397
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:38.7;0,4341652;Good;Good;63232398
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:39.7;0,4319263;Good;Good;63232399
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:44.9;0,4314923;Good;Good;63232400
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:45.9;0,4294813;Good;Good;63232401
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:47.9;0,4294813;Good;Good;63232402
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:48.9;0,4323097;Good;Good;63232403
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:51.0;0,4323097;Good;Good;63232404
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:52.0;0,4340242;Good;Good;63232405
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:57.1;0,4343569;Good;Good;63232406
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:05:58.2;0,437084;Good;Good;63232407
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:06:03.3;0,4367441;Good;Good;63232408
FRD_0595_S0904_2;Luftgeschwindigkeitsmessung 2;06-APR-21 00:06:04.3;0,4381004;Good;Good;63232409
