Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:01:31.9;0,439851;Good;Good;13293462
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:01:33.0;0,4499783;Good;Good;13293463
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:01:46.3;0,4499783;Good;Good;13293464
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:01:47.3;0,439851;Good;Good;13293465
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:01:53.5;0,4398872;Good;Good;13293466
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:01:54.5;0,4499783;Good;Good;13293467
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:01:58.6;0,4499783;Good;Good;13293468
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:01:59.7;0,4398872;Good;Good;13293469
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:14:10.2;0,4398872;Good;Good;13293470
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:14:11.2;0,4499783;Good;Good;13293471
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:14:33.7;0,4499783;Good;Good;13293472
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:14:34.7;0,4398872;Good;Good;13293473
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:14:39.8;0,4398872;Good;Good;13293474
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:14:40.8;0,4499783;Good;Good;13293475
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:14:56.2;0,4499783;Good;Good;13293476
FRD_0595_SIRA0904_3;Luftgeschwindigkeit LF Haube Auslauf;06-APR-21 00:14:57.2;0,4398872;Good;Good;13293477
