Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:00.9;46;Good;Good;9736274
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:01.9;47;Good;Good;9736275
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:03.0;46;Good;Good;9736276
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:12.2;46;Good;Good;9736277
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:13.2;47;Good;Good;9736278
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:22.4;47;Good;Good;9736279
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:23.5;46;Good;Good;9736280
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:24.5;46;Good;Good;9736281
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:25.5;47;Good;Good;9736282
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:26.5;47;Good;Good;9736283
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:27.5;46;Good;Good;9736284
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:34.7;46;Good;Good;9736285
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:35.7;47;Good;Good;9736286
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:36.7;46;Good;Good;9736287
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:38.8;46;Good;Good;9736288
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:39.8;47;Good;Good;9736289
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:53.1;47;Good;Good;9736290
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:00:54.1;46;Good;Good;9736291
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:01:00.3;46;Good;Good;9736292
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:01:01.3;47;Good;Good;9736293
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:01:02.3;47;Good;Good;9736294
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:01:03.3;46;Good;Good;9736295
FRD_0595_SSRA0922_2;Drehzahl Absaugung 2;06-APR-21 00:01:08.4;46;Good;Good;9736296
