Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 00:57:43.6;19,19126;Good;Good;199102272
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 01:57:43.3;19,15509;Good;Good;199102273
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 02:57:42.8;19,18041;Good;Good;199102274
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 03:57:42.1;19,21296;Good;Good;199102275
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 04:57:41.5;19,27083;Good;Good;199102276
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 05:57:41.2;19,2419;Good;Good;199102277
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 06:57:40.9;19,25998;Good;Good;199102278
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 07:57:40.0;19,26722;Good;Good;199102279
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 08:49:17.2;19,17318;Good;Good;199102280
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 09:12:55.7;19,08275;Good;Good;199102281
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 10:12:55.0;19,16233;Good;Good;199102282
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 11:02:41.5;19,25636;Good;Good;199102283
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 12:02:41.4;19,25636;Good;Good;199102284
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 12:31:12.1;19,16233;Good;Good;199102285
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 13:31:11.9;19,15871;Good;Good;199102286
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 14:31:11.0;19,1985;Good;Good;199102287
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 15:31:10.1;19,19488;Good;Good;199102288
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 16:04:28.1;19,29253;Good;Good;199102289
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 17:04:27.4;19,25998;Good;Good;199102290
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 18:04:27.2;19,23828;Good;Good;199102291
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 19:04:26.6;19,23466;Good;Good;199102292
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 20:04:26.4;19,25998;Good;Good;199102293
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 21:04:26.0;19,1985;Good;Good;199102294
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 22:04:25.6;19,20934;Good;Good;199102295
FRD_0595_TIRC0902_1;Istwert Temperatur Isolator;06-APR-21 23:04:25.5;19,2419;Good;Good;199102296
