Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 00:41:58.4;22,67433;Good;Good;189670
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 01:41:58.0;22,65625;Good;Good;189671
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 02:41:58.0;22,63455;Good;Good;189672
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 03:41:57.9;22,63455;Good;Good;189673
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 04:41:57.4;22,64178;Good;Good;189674
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 05:41:57.0;22,64902;Good;Good;189675
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 06:41:56.2;22,65625;Good;Good;189676
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 07:41:55.8;22,65987;Good;Good;189677
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 08:41:55.5;22,6671;Good;Good;189678
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 09:41:54.9;22,63093;Good;Good;189679
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 10:41:54.4;22,57306;Good;Good;189680
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 11:41:53.5;22,55498;Good;Good;189681
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 12:41:52.9;22,54051;Good;Good;189682
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 13:41:52.9;22,52966;Good;Good;189683
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 14:41:52.4;22,48264;Good;Good;189684
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 15:41:52.4;22,47179;Good;Good;189685
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 16:41:52.1;22,46455;Good;Good;189686
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 17:41:51.3;22,46817;Good;Good;189687
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 18:41:50.6;22,49711;Good;Good;189688
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 19:41:50.3;22,54413;Good;Good;189689
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 20:41:50.1;22,56944;Good;Good;189690
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 21:41:49.4;22,58753;Good;Good;189691
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 22:41:48.7;22,6237;Good;Good;189692
FRD_0595_TIRCSA0997_2;Tempeeratur Trägerstrom H2O2;06-APR-21 23:41:47.8;22,61285;Good;Good;189693
