Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 00:41:58.4;23;Good;Good;2106984
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 01:41:58.0;23;Good;Good;2106985
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 02:41:58.0;23;Good;Good;2106986
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 03:41:57.9;23;Good;Good;2106987
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 04:41:57.4;23;Good;Good;2106988
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 05:41:57.0;23;Good;Good;2106989
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 06:41:56.2;23;Good;Good;2106990
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 07:41:55.8;23;Good;Good;2106991
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 08:41:55.5;23;Good;Good;2106992
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 09:41:54.9;23;Good;Good;2106993
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 10:41:54.4;23;Good;Good;2106994
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 11:41:53.5;23;Good;Good;2106995
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 12:41:52.9;23;Good;Good;2106996
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 13:41:52.9;23;Good;Good;2106997
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 14:41:52.4;23;Good;Good;2106998
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 15:41:52.4;23;Good;Good;2106999
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 16:41:52.1;23;Good;Good;2107000
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 17:41:51.3;23;Good;Good;2107001
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 18:41:50.6;23;Good;Good;2107002
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 19:41:50.3;23;Good;Good;2107003
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 20:41:50.1;23;Good;Good;2107004
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 21:41:49.4;23;Good;Good;2107005
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 22:41:48.7;23;Good;Good;2107006
FRD_0595_TSA0914_2;Verdampferheiz. 2 (TSA+914.2);06-APR-21 23:41:47.8;23;Good;Good;2107007
