Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 00:41:58.4;0;Good;Good;916568
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 01:41:58.0;0;Good;Good;916569
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 02:41:58.0;0;Good;Good;916570
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 03:41:57.9;0;Good;Good;916571
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 04:41:57.4;0;Good;Good;916572
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 05:41:57.0;0;Good;Good;916573
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 06:41:56.2;0;Good;Good;916574
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 07:41:55.8;0;Good;Good;916575
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 08:41:55.5;0;Good;Good;916576
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 09:41:54.9;0;Good;Good;916577
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 10:41:54.4;0;Good;Good;916578
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 11:41:53.5;0;Good;Good;916579
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 12:41:52.9;0;Good;Good;916580
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 13:41:52.9;0;Good;Good;916581
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 14:41:52.4;0;Good;Good;916582
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 15:41:52.4;0;Good;Good;916583
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 16:41:52.1;0;Good;Good;916584
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 17:41:51.3;0;Good;Good;916585
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 18:41:50.6;0;Good;Good;916586
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 19:41:50.3;0;Good;Good;916587
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 20:41:50.1;0;Good;Good;916588
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 21:41:49.4;0;Good;Good;916589
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 22:41:48.7;0;Good;Good;916590
FRD_0595_WIR0995;Aktuelles Gewicht H2O2 Waage;06-APR-21 23:41:47.8;0;Good;Good;916591
