Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 00:41:58.4;0;Good;Good;81128
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 01:41:58.0;0;Good;Good;81129
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 02:41:58.0;0;Good;Good;81130
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 03:41:57.9;0;Good;Good;81131
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 04:41:57.4;0;Good;Good;81132
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 05:41:57.0;0;Good;Good;81133
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 06:41:56.2;0;Good;Good;81134
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 07:41:55.8;0;Good;Good;81135
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 08:41:55.5;0;Good;Good;81136
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 09:41:54.9;0;Good;Good;81137
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 10:41:54.4;0;Good;Good;81138
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 11:41:53.5;0;Good;Good;81139
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 12:41:52.9;0;Good;Good;81140
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 13:41:52.9;0;Good;Good;81141
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 14:41:52.4;0;Good;Good;81142
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 15:41:52.4;0;Good;Good;81143
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 16:41:52.1;0;Good;Good;81144
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 17:41:51.3;0;Good;Good;81145
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 18:41:50.6;0;Good;Good;81146
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 19:41:50.3;0;Good;Good;81147
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 20:41:50.1;0;Good;Good;81148
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 21:41:49.4;0;Good;Good;81149
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 22:41:48.7;0;Good;Good;81150
FRD_0595_X_Schritt_H2O2;Schrittanzeige: Prozessschritt H2O2;06-APR-21 23:41:47.8;0;Good;Good;81151
