Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:23:53.6;735;Good;Good;417115
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:25:49.2;737;Good;Good;417116
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:31:22.7;738;Good;Good;417117
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:37:11.0;739;Good;Good;417118
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:38:23.6;740;Good;Good;417119
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:42:27.1;741;Good;Good;417120
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:44:28.8;742;Good;Good;417121
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:46:36.8;743;Good;Good;417122
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:48:38.5;744;Good;Good;417123
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 00:49:43.9;745;Good;Good;417124
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:00:38.5;746;Good;Good;417125
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:06:48.0;747;Good;Good;417126
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:06:59.2;748;Good;Good;417127
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:24:32.7;749;Good;Good;417128
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:25:12.5;750;Good;Good;417129
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:46:49.6;751;Good;Good;417130
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:49:16.0;752;Good;Good;417131
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:49:27.3;753;Good;Good;417132
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:50:57.3;754;Good;Good;417133
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:51:58.6;755;Good;Good;417134
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:52:14.9;756;Good;Good;417135
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 01:52:32.3;757;Good;Good;417136
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 02:10:14.1;758;Good;Good;417137
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 02:22:53.8;759;Good;Good;417138
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 02:27:38.9;760;Good;Good;417139
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 02:32:08.9;761;Good;Good;417140
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 02:50:20.1;762;Good;Good;417141
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 03:04:09.2;763;Good;Good;417142
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 03:11:51.1;764;Good;Good;417143
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 03:12:03.4;765;Good;Good;417144
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 03:29:41.0;766;Good;Good;417145
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 03:30:04.5;767;Good;Good;417146
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 03:32:23.6;768;Good;Good;417147
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 03:53:05.8;769;Good;Good;417148
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 04:53:05.5;769;Good;Good;417149
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:13:27.3;770;Good;Good;417150
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:14:18.5;771;Good;Good;417151
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:19:47.4;772;Good;Good;417152
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:22:44.1;773;Good;Good;417153
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:22:50.3;774;Good;Good;417154
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:30:52.2;775;Good;Good;417155
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:49:05.7;776;Good;Good;417156
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:53:08.4;777;Good;Good;417157
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 05:58:01.8;778;Good;Good;417158
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 06:01:55.9;779;Good;Good;417159
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 06:19:58.0;780;Good;Good;417160
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 06:38:54.0;781;Good;Good;417161
FRD_0596_BotChiCrack;Chips & Cracks Bodenbereich;06-APR-21 06:39:00.1;782;Good;Good;417162
