Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:00:01.0;3464;Good;Good;9055498
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:00:17.3;3465;Good;Good;9055499
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:03:37.0;3466;Good;Good;9055500
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:03:48.3;3467;Good;Good;9055501
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:04:32.3;3469;Good;Good;9055502
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:04:38.4;3470;Good;Good;9055503
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:04:59.9;3471;Good;Good;9055504
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:06:21.7;3472;Good;Good;9055505
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:06:43.2;3473;Good;Good;9055506
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:07:27.2;3474;Good;Good;9055507
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:07:50.7;3475;Good;Good;9055508
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:08:18.3;3478;Good;Good;9055509
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:08:23.4;3479;Good;Good;9055510
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:09:06.3;3480;Good;Good;9055511
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:22:41.9;3481;Good;Good;9055512
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:22:58.3;3482;Good;Good;9055513
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:23:31.0;3483;Good;Good;9055514
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:24:09.0;3484;Good;Good;9055515
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:24:15.1;3486;Good;Good;9055516
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:24:31.5;3487;Good;Good;9055517
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:25:00.1;3488;Good;Good;9055518
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:25:05.2;3489;Good;Good;9055519
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:25:16.4;3490;Good;Good;9055520
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:25:49.2;3491;Good;Good;9055521
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:25:55.3;3493;Good;Good;9055522
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:26:21.9;3494;Good;Good;9055523
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:26:33.1;3495;Good;Good;9055524
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:26:44.3;3496;Good;Good;9055525
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:27:01.7;3497;Good;Good;9055526
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:27:06.8;3498;Good;Good;9055527
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:27:17.1;3499;Good;Good;9055528
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:27:23.2;3500;Good;Good;9055529
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:30:38.8;3501;Good;Good;9055530
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:30:49.1;3502;Good;Good;9055531
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:31:06.4;3503;Good;Good;9055532
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:31:16.6;3505;Good;Good;9055533
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:32:02.6;3506;Good;Good;9055534
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:35:02.0;3507;Good;Good;9055535
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:35:08.1;3508;Good;Good;9055536
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:35:19.4;3509;Good;Good;9055537
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:35:25.5;3511;Good;Good;9055538
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:35:30.6;3512;Good;Good;9055539
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:36:13.6;3513;Good;Good;9055540
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:36:42.2;3514;Good;Good;9055541
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:36:54.6;3516;Good;Good;9055542
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:37:17.1;3517;Good;Good;9055543
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:37:22.2;3518;Good;Good;9055544
FRD_0596_CapSidDamaged;Beschädigung der Kappe seitlich;06-APR-21 00:37:43.7;3519;Good;Good;9055545
