Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:03:48.3;935;Good;Good;7311393
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:03:54.4;936;Good;Good;7311394
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:09:06.3;937;Good;Good;7311395
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:24:26.4;939;Good;Good;7311396
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:24:54.0;940;Good;Good;7311397
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:25:26.6;941;Good;Good;7311398
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:25:32.8;942;Good;Good;7311399
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:26:33.1;943;Good;Good;7311400
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:27:11.9;944;Good;Good;7311401
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:27:28.3;945;Good;Good;7311402
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:30:49.1;946;Good;Good;7311403
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:31:06.4;947;Good;Good;7311404
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:31:50.4;948;Good;Good;7311405
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:32:33.4;949;Good;Good;7311406
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:36:09.5;950;Good;Good;7311407
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:36:54.6;951;Good;Good;7311408
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:37:54.9;952;Good;Good;7311409
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:38:00.1;953;Good;Good;7311410
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:38:56.3;954;Good;Good;7311411
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:39:56.7;955;Good;Good;7311412
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:41:14.5;956;Good;Good;7311413
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:41:30.8;957;Good;Good;7311414
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:41:42.1;958;Good;Good;7311415
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:42:43.5;959;Good;Good;7311416
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:45:07.7;960;Good;Good;7311417
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:45:41.6;961;Good;Good;7311418
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:48:48.7;962;Good;Good;7311419
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:49:22.4;963;Good;Good;7311420
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:50:12.5;965;Good;Good;7311421
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:50:22.8;966;Good;Good;7311422
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:51:19.0;967;Good;Good;7311423
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:51:41.5;968;Good;Good;7311424
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:52:29.7;969;Good;Good;7311425
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:54:17.1;970;Good;Good;7311426
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:55:07.2;971;Good;Good;7311427
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:56:08.6;972;Good;Good;7311428
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:56:26.0;973;Good;Good;7311429
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:56:43.4;974;Good;Good;7311430
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:56:49.5;975;Good;Good;7311431
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:58:18.5;976;Good;Good;7311432
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:58:24.6;977;Good;Good;7311433
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:58:34.8;978;Good;Good;7311434
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:59:04.5;979;Good;Good;7311435
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:59:19.8;980;Good;Good;7311436
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:59:42.3;982;Good;Good;7311437
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 00:59:52.5;983;Good;Good;7311438
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:01:17.6;984;Good;Good;7311439
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:01:35.0;985;Good;Good;7311440
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:02:41.4;986;Good;Good;7311441
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:04:45.2;987;Good;Good;7311442
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:06:04.0;988;Good;Good;7311443
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:06:27.5;989;Good;Good;7311444
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:07:27.9;990;Good;Good;7311445
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:08:13.9;991;Good;Good;7311446
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:08:36.4;992;Good;Good;7311447
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:09:49.0;993;Good;Good;7311448
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:10:11.4;994;Good;Good;7311449
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:10:17.6;995;Good;Good;7311450
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:11:46.5;996;Good;Good;7311451
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:28:14.7;997;Good;Good;7311452
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:28:43.3;998;Good;Good;7311453
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:29:12.0;999;Good;Good;7311454
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:31:26.0;1000;Good;Good;7311455
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:32:33.6;1001;Good;Good;7311456
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:32:49.9;1002;Good;Good;7311457
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:45:46.2;1004;Good;Good;7311458
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:46:04.7;1006;Good;Good;7311459
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:47:39.8;1007;Good;Good;7311460
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:47:51.0;1008;Good;Good;7311461
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:48:24.8;1009;Good;Good;7311462
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:49:09.8;1010;Good;Good;7311463
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:49:21.1;1011;Good;Good;7311464
FRD_0596_CapTopDamaged;Beschädigung der Kappenoberseite;06-APR-21 01:49:54.9;1012;Good;Good;7311465
