Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 00:39:44.4;10;Good;Good;2498686
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 01:39:44.2;10;Good;Good;2498687
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 02:35:58.1;11;Good;Good;2498688
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 03:14:52.1;12;Good;Good;2498689
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 03:31:27.4;13;Good;Good;2498690
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 03:36:30.7;14;Good;Good;2498691
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 04:36:30.2;14;Good;Good;2498692
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 05:29:12.0;15;Good;Good;2498693
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 06:26:31.1;16;Good;Good;2498694
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 07:26:30.5;16;Good;Good;2498695
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 08:06:21.1;17;Good;Good;2498696
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 09:06:20.9;17;Good;Good;2498697
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 10:06:20.5;17;Good;Good;2498698
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 11:00:48.9;18;Good;Good;2498699
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 12:00:48.8;18;Good;Good;2498700
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 12:07:25.8;19;Good;Good;2498701
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 13:04:19.4;0;Good;Good;2498702
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 14:04:18.7;0;Good;Good;2498703
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 14:54:57.6;1;Good;Good;2498704
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 15:53:37.2;2;Good;Good;2498705
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 16:53:36.8;2;Good;Good;2498706
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 17:53:36.4;2;Good;Good;2498707
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 18:53:36.1;2;Good;Good;2498708
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 19:23:28.9;3;Good;Good;2498709
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 20:05:23.9;4;Good;Good;2498710
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 20:11:01.4;5;Good;Good;2498711
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 20:21:46.3;6;Good;Good;2498712
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 21:21:45.4;6;Good;Good;2498713
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 21:22:30.3;7;Good;Good;2498714
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 21:45:27.2;8;Good;Good;2498715
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 22:45:26.2;8;Good;Good;2498716
FRD_0596_CoCapDiameter;Kappendurchmesser;06-APR-21 23:20:17.4;9;Good;Good;2498717
