Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:00:01.0;20494;Good;Good;10079874
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:00:07.1;20496;Good;Good;10079875
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:00:12.2;20497;Good;Good;10079876
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:00:17.3;20498;Good;Good;10079877
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:10.4;20503;Good;Good;10079878
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:16.6;20505;Good;Good;10079879
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:20.7;20507;Good;Good;10079880
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:25.8;20510;Good;Good;10079881
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:31.9;20513;Good;Good;10079882
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:37.0;20515;Good;Good;10079883
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:44.2;20516;Good;Good;10079884
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:54.4;20518;Good;Good;10079885
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:03:59.5;20519;Good;Good;10079886
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:04:09.8;20521;Good;Good;10079887
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:04:14.9;20523;Good;Good;10079888
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:04:21.0;20527;Good;Good;10079889
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:04:27.2;20530;Good;Good;10079890
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:04:43.5;20532;Good;Good;10079891
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:04:48.7;20533;Good;Good;10079892
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:04:53.8;20536;Good;Good;10079893
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:04:59.9;20539;Good;Good;10079894
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:05:05.0;20542;Good;Good;10079895
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:05:17.3;20545;Good;Good;10079896
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:05:22.4;20546;Good;Good;10079897
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:06:04.3;20548;Good;Good;10079898
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:06:10.5;20549;Good;Good;10079899
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:06:15.6;20550;Good;Good;10079900
FRD_0596_CoCrimpDaNeck;Beschädigung im Halsbereich;06-APR-21 00:06:21.7;20552;Good;Good;10079901
