Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:00:07.1;27026;Good;Good;7793669
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:00:12.2;27027;Good;Good;7793670
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:00:17.3;27030;Good;Good;7793671
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:03:20.7;27031;Good;Good;7793672
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:03:25.8;27032;Good;Good;7793673
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:03:37.0;27033;Good;Good;7793674
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:03:44.2;27034;Good;Good;7793675
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:03:48.3;27035;Good;Good;7793676
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:04:21.0;27038;Good;Good;7793677
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:04:32.3;27039;Good;Good;7793678
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:04:48.7;27040;Good;Good;7793679
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:04:53.8;27041;Good;Good;7793680
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:04:59.9;27043;Good;Good;7793681
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:05:05.0;27045;Good;Good;7793682
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:05:11.2;27047;Good;Good;7793683
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:05:26.5;27048;Good;Good;7793684
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:06:04.3;27050;Good;Good;7793685
FRD_0596_CoDamShoulder;Beschädigung Im Schulterbereich;06-APR-21 00:06:10.5;27051;Good;Good;7793686
