Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:00:07.1;929;Good;Good;7966752
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:05:17.3;930;Good;Good;7966753
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:08:44.9;931;Good;Good;7966754
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:23:03.4;932;Good;Good;7966755
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:26:44.3;933;Good;Good;7966756
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:26:56.6;934;Good;Good;7966757
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:27:39.5;935;Good;Good;7966758
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:31:16.6;936;Good;Good;7966759
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:31:34.0;937;Good;Good;7966760
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:32:28.3;938;Good;Good;7966761
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:35:58.2;940;Good;Good;7966762
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:36:37.1;941;Good;Good;7966763
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:37:05.8;942;Good;Good;7966764
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:37:43.7;943;Good;Good;7966765
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:38:23.6;944;Good;Good;7966766
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:38:33.8;945;Good;Good;7966767
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:40:14.1;946;Good;Good;7966768
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:41:04.3;947;Good;Good;7966769
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:42:15.8;949;Good;Good;7966770
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:44:22.7;951;Good;Good;7966771
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:44:51.3;952;Good;Good;7966772
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:46:20.4;953;Good;Good;7966773
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:47:58.6;955;Good;Good;7966774
FRD_0596_CoEjeTwice;Wiederholte HOK;06-APR-21 00:49:05.1;957;Good;Good;7966775
