Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:00:07.1;1762;Good;Good;2702053
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:03:48.3;1763;Good;Good;2702054
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:04:38.4;1764;Good;Good;2702055
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:04:43.5;1765;Good;Good;2702056
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:05:05.0;1766;Good;Good;2702057
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:06:04.3;1767;Good;Good;2702058
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:06:30.9;1768;Good;Good;2702059
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:07:00.6;1769;Good;Good;2702060
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:08:23.4;1770;Good;Good;2702061
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:08:29.5;1771;Good;Good;2702062
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:23:24.8;1772;Good;Good;2702063
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:23:36.1;1773;Good;Good;2702064
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:23:53.6;1774;Good;Good;2702065
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:24:09.0;1775;Good;Good;2702066
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:24:31.5;1776;Good;Good;2702067
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:25:10.3;1777;Good;Good;2702068
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:25:26.6;1778;Good;Good;2702069
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:25:49.2;1779;Good;Good;2702070
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:26:12.7;1780;Good;Good;2702071
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:26:33.1;1781;Good;Good;2702072
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:27:28.3;1782;Good;Good;2702073
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:27:44.6;1783;Good;Good;2702074
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:31:22.7;1784;Good;Good;2702075
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:31:50.4;1786;Good;Good;2702076
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:32:11.8;1787;Good;Good;2702077
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:32:28.3;1788;Good;Good;2702078
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:32:33.4;1789;Good;Good;2702079
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:34:24.0;1790;Good;Good;2702080
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:34:29.1;1791;Good;Good;2702081
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:35:30.6;1792;Good;Good;2702082
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:35:47.0;1793;Good;Good;2702083
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:36:09.5;1794;Good;Good;2702084
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:36:19.7;1795;Good;Good;2702085
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:36:54.6;1796;Good;Good;2702086
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:36:59.7;1797;Good;Good;2702087
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:37:54.9;1798;Good;Good;2702088
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:38:27.7;1799;Good;Good;2702089
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:39:02.5;1800;Good;Good;2702090
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:41:09.4;1801;Good;Good;2702091
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:41:19.6;1802;Good;Good;2702092
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:41:42.1;1803;Good;Good;2702093
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:42:15.8;1805;Good;Good;2702094
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:42:38.4;1806;Good;Good;2702095
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:42:49.6;1808;Good;Good;2702096
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:42:59.9;1809;Good;Good;2702097
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:43:51.0;1810;Good;Good;2702098
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:45:12.9;1811;Good;Good;2702099
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:45:19.0;1812;Good;Good;2702100
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:45:36.5;1813;Good;Good;2702101
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:46:09.2;1814;Good;Good;2702102
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:46:41.9;1815;Good;Good;2702103
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:47:54.5;1816;Good;Good;2702104
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:48:21.1;1817;Good;Good;2702105
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:48:48.7;1819;Good;Good;2702106
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:51:07.7;1820;Good;Good;2702107
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:51:19.0;1821;Good;Good;2702108
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:51:41.5;1822;Good;Good;2702109
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:52:19.5;1823;Good;Good;2702110
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:52:35.9;1824;Good;Good;2702111
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:52:47.1;1825;Good;Good;2702112
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:52:58.4;1826;Good;Good;2702113
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:53:04.5;1827;Good;Good;2702114
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:53:20.9;1828;Good;Good;2702115
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:54:39.6;1830;Good;Good;2702116
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:55:07.2;1831;Good;Good;2702117
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:55:34.8;1833;Good;Good;2702118
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:56:20.9;1834;Good;Good;2702119
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:56:32.1;1835;Good;Good;2702120
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:56:37.2;1836;Good;Good;2702121
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:57:04.8;1837;Good;Good;2702122
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:57:33.4;1838;Good;Good;2702123
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:59:09.6;1839;Good;Good;2702124
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:59:52.5;1840;Good;Good;2702125
FRD_0596_CoFilling;Unterfüllung;06-APR-21 00:59:58.7;1842;Good;Good;2702126
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:00:09.9;1843;Good;Good;2702127
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:00:16.0;1844;Good;Good;2702128
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:00:28.3;1845;Good;Good;2702129
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:02:36.3;1846;Good;Good;2702130
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:03:04.0;1847;Good;Good;2702131
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:03:10.1;1848;Good;Good;2702132
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:03:16.2;1849;Good;Good;2702133
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:04:06.4;1850;Good;Good;2702134
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:04:12.5;1851;Good;Good;2702135
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:04:22.7;1852;Good;Good;2702136
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:05:46.6;1853;Good;Good;2702137
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:06:48.0;1854;Good;Good;2702138
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:06:59.2;1855;Good;Good;2702139
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:07:11.5;1856;Good;Good;2702140
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:07:17.7;1857;Good;Good;2702141
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:07:34.0;1858;Good;Good;2702142
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:07:56.5;1859;Good;Good;2702143
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:08:42.5;1860;Good;Good;2702144
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:08:47.6;1861;Good;Good;2702145
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:08:52.7;1862;Good;Good;2702146
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:08:57.9;1863;Good;Good;2702147
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:09:04.0;1864;Good;Good;2702148
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:09:32.6;1866;Good;Good;2702149
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:10:22.7;1867;Good;Good;2702150
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:10:34.0;1868;Good;Good;2702151
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:11:02.5;1869;Good;Good;2702152
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:11:07.7;1870;Good;Good;2702153
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:24:32.7;1871;Good;Good;2702154
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:24:50.0;1872;Good;Good;2702155
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:25:22.8;1873;Good;Good;2702156
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:28:27.0;1874;Good;Good;2702157
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:29:05.8;1875;Good;Good;2702158
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:29:55.9;1876;Good;Good;2702159
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:30:07.2;1877;Good;Good;2702160
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:31:03.6;1878;Good;Good;2702161
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:31:49.6;1879;Good;Good;2702162
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:32:16.2;1880;Good;Good;2702163
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:32:27.4;1881;Good;Good;2702164
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:32:38.7;1882;Good;Good;2702165
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:33:18.6;1883;Good;Good;2702166
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:33:51.3;1884;Good;Good;2702167
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:47:00.9;1885;Good;Good;2702168
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:47:12.2;1886;Good;Good;2702169
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:47:18.3;1887;Good;Good;2702170
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:47:29.6;1888;Good;Good;2702171
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:48:07.4;1889;Good;Good;2702172
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:49:16.0;1890;Good;Good;2702173
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:49:44.6;1891;Good;Good;2702174
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:51:18.8;1892;Good;Good;2702175
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:51:24.9;1893;Good;Good;2702176
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:52:09.8;1896;Good;Good;2702177
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:52:53.8;1897;Good;Good;2702178
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:53:06.1;1898;Good;Good;2702179
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:53:45.9;1899;Good;Good;2702180
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:55:32.2;1900;Good;Good;2702181
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:57:12.6;1901;Good;Good;2702182
FRD_0596_CoFilling;Unterfüllung;06-APR-21 01:59:56.4;1902;Good;Good;2702183
FRD_0596_CoFilling;Unterfüllung;06-APR-21 02:01:10.0;1903;Good;Good;2702184
