Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 00:30:04.1;13;Good;Good;193428
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 01:30:03.1;13;Good;Good;193429
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 02:30:02.1;13;Good;Good;193430
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 03:30:01.5;13;Good;Good;193431
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 04:30:01.1;13;Good;Good;193432
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 05:30:01.1;13;Good;Good;193433
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 06:30:00.6;13;Good;Good;193434
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 07:30:00.2;13;Good;Good;193435
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 08:29:59.4;13;Good;Good;193436
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 09:29:59.3;13;Good;Good;193437
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 10:29:58.5;13;Good;Good;193438
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 11:29:57.9;13;Good;Good;193439
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 12:29:57.3;13;Good;Good;193440
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 12:35:13.5;14;Good;Good;193441
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 12:35:29.8;15;Good;Good;193442
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 13:04:19.4;0;Good;Good;193443
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 14:04:18.7;0;Good;Good;193444
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 14:27:20.9;7;Good;Good;193445
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 14:27:24.0;38;Good;Good;193446
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 14:56:32.6;39;Good;Good;193447
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 15:56:31.7;39;Good;Good;193448
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 16:56:30.7;39;Good;Good;193449
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 17:56:30.2;39;Good;Good;193450
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 18:56:29.9;39;Good;Good;193451
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 19:56:29.1;39;Good;Good;193452
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 20:56:28.7;39;Good;Good;193453
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 21:56:28.4;39;Good;Good;193454
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 22:56:27.6;39;Good;Good;193455
FRD_0596_CoForcedRej;Zwangsschlecht;06-APR-21 23:56:27.1;39;Good;Good;193456
