Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:00:01.0;33983;Good;Good;23530035
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:00:07.1;33984;Good;Good;23530036
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:03:10.4;33985;Good;Good;23530037
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:03:20.7;33987;Good;Good;23530038
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:03:44.2;33989;Good;Good;23530039
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:03:59.5;33990;Good;Good;23530040
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:05.6;33991;Good;Good;23530041
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:14.9;33993;Good;Good;23530042
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:21.0;33994;Good;Good;23530043
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:27.2;33996;Good;Good;23530044
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:32.3;33997;Good;Good;23530045
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:38.4;33998;Good;Good;23530046
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:43.5;33999;Good;Good;23530047
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:48.7;34000;Good;Good;23530048
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:53.8;34001;Good;Good;23530049
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:04:59.9;34002;Good;Good;23530050
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:05:05.0;34003;Good;Good;23530051
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:05:22.4;34005;Good;Good;23530052
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:05:58.2;34006;Good;Good;23530053
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:06:04.3;34010;Good;Good;23530054
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:06:25.8;34011;Good;Good;23530055
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:06:37.0;34012;Good;Good;23530056
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:06:43.2;34013;Good;Good;23530057
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:06:49.3;34014;Good;Good;23530058
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:07:00.6;34018;Good;Good;23530059
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:07:27.2;34019;Good;Good;23530060
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:07:33.3;34020;Good;Good;23530061
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:07:39.5;34021;Good;Good;23530062
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:07:44.6;34024;Good;Good;23530063
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:07:50.7;34027;Good;Good;23530064
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:07:55.8;34031;Good;Good;23530065
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:08:18.3;34033;Good;Good;23530066
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:08:34.7;34034;Good;Good;23530067
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:08:44.9;34035;Good;Good;23530068
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:08:50.0;34036;Good;Good;23530069
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:08:56.1;34038;Good;Good;23530070
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:22:41.9;34039;Good;Good;23530071
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:22:47.0;34041;Good;Good;23530072
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:22:58.3;34042;Good;Good;23530073
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:23:14.6;34043;Good;Good;23530074
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:24:03.9;34044;Good;Good;23530075
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:24:15.1;34045;Good;Good;23530076
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:24:26.4;34048;Good;Good;23530077
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:24:31.5;34049;Good;Good;23530078
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:24:42.7;34050;Good;Good;23530079
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:24:47.9;34052;Good;Good;23530080
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:24:54.0;34054;Good;Good;23530081
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:25:05.2;34056;Good;Good;23530082
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:25:10.3;34057;Good;Good;23530083
FRD_0596_CoPartikel;Partikelfehler;06-APR-21 00:25:16.4;34058;Good;Good;23530084
