Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:00:01.0;90128;Good;Good;32580735
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:00:07.1;90134;Good;Good;32580736
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:00:12.2;90136;Good;Good;32580737
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:00:17.3;90141;Good;Good;32580738
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:00:22.5;90142;Good;Good;32580739
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:00:27.6;90143;Good;Good;32580740
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:10.4;90151;Good;Good;32580741
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:16.6;90153;Good;Good;32580742
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:20.7;90158;Good;Good;32580743
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:25.8;90162;Good;Good;32580744
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:31.9;90165;Good;Good;32580745
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:37.0;90169;Good;Good;32580746
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:44.2;90173;Good;Good;32580747
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:48.3;90177;Good;Good;32580748
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:54.4;90180;Good;Good;32580749
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:03:59.5;90183;Good;Good;32580750
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:05.6;90184;Good;Good;32580751
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:09.8;90186;Good;Good;32580752
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:14.9;90190;Good;Good;32580753
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:21.0;90199;Good;Good;32580754
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:27.2;90204;Good;Good;32580755
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:32.3;90209;Good;Good;32580756
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:38.4;90213;Good;Good;32580757
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:43.5;90219;Good;Good;32580758
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:48.7;90222;Good;Good;32580759
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:53.8;90227;Good;Good;32580760
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:04:59.9;90235;Good;Good;32580761
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:05:05.0;90241;Good;Good;32580762
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:05:11.2;90243;Good;Good;32580763
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:05:17.3;90247;Good;Good;32580764
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:05:22.4;90252;Good;Good;32580765
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:05:26.5;90253;Good;Good;32580766
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:05:58.2;90254;Good;Good;32580767
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:04.3;90262;Good;Good;32580768
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:10.5;90264;Good;Good;32580769
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:15.6;90266;Good;Good;32580770
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:21.7;90269;Good;Good;32580771
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:25.8;90272;Good;Good;32580772
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:30.9;90277;Good;Good;32580773
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:37.0;90280;Good;Good;32580774
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:43.2;90285;Good;Good;32580775
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:49.3;90292;Good;Good;32580776
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:06:54.4;90298;Good;Good;32580777
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:00.6;90307;Good;Good;32580778
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:06.7;90309;Good;Good;32580779
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:09.8;90313;Good;Good;32580780
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:15.9;90316;Good;Good;32580781
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:22.0;90323;Good;Good;32580782
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:27.2;90328;Good;Good;32580783
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:33.3;90334;Good;Good;32580784
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:39.5;90342;Good;Good;32580785
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:44.6;90349;Good;Good;32580786
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:50.7;90356;Good;Good;32580787
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:07:55.8;90364;Good;Good;32580788
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:02.0;90366;Good;Good;32580789
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:07.1;90368;Good;Good;32580790
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:18.3;90375;Good;Good;32580791
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:23.4;90379;Good;Good;32580792
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:29.5;90384;Good;Good;32580793
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:34.7;90387;Good;Good;32580794
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:39.8;90389;Good;Good;32580795
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:44.9;90394;Good;Good;32580796
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:50.0;90397;Good;Good;32580797
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:08:56.1;90401;Good;Good;32580798
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:09:01.2;90406;Good;Good;32580799
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:09:06.3;90410;Good;Good;32580800
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:09:11.4;90411;Good;Good;32580801
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:09:16.6;90412;Good;Good;32580802
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:22:35.8;90416;Good;Good;32580803
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:22:41.9;90421;Good;Good;32580804
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:22:47.0;90425;Good;Good;32580805
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:22:53.1;90426;Good;Good;32580806
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:22:58.3;90434;Good;Good;32580807
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:03.4;90436;Good;Good;32580808
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:09.5;90438;Good;Good;32580809
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:14.6;90441;Good;Good;32580810
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:19.7;90443;Good;Good;32580811
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:24.8;90448;Good;Good;32580812
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:31.0;90451;Good;Good;32580813
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:36.1;90456;Good;Good;32580814
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:42.3;90457;Good;Good;32580815
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:47.4;90463;Good;Good;32580816
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:52.5;90467;Good;Good;32580817
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:23:57.7;90468;Good;Good;32580818
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:03.9;90469;Good;Good;32580819
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:09.0;90471;Good;Good;32580820
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:15.1;90477;Good;Good;32580821
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:20.2;90480;Good;Good;32580822
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:26.4;90485;Good;Good;32580823
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:31.5;90491;Good;Good;32580824
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:37.6;90492;Good;Good;32580825
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:42.7;90497;Good;Good;32580826
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:47.9;90502;Good;Good;32580827
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:24:54.0;90509;Good;Good;32580828
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:00.1;90512;Good;Good;32580829
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:05.2;90517;Good;Good;32580830
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:10.3;90520;Good;Good;32580831
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:16.4;90525;Good;Good;32580832
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:21.5;90529;Good;Good;32580833
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:26.6;90536;Good;Good;32580834
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:32.8;90540;Good;Good;32580835
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:37.9;90543;Good;Good;32580836
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:44.0;90546;Good;Good;32580837
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:49.2;90552;Good;Good;32580838
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:25:55.3;90559;Good;Good;32580839
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:26:00.4;90562;Good;Good;32580840
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:26:06.5;90565;Good;Good;32580841
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:26:12.7;90567;Good;Good;32580842
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:26:16.8;90571;Good;Good;32580843
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:26:21.9;90575;Good;Good;32580844
FRD_0596_CounterBad;Schlechte ZA;06-APR-21 00:26:28.0;90579;Good;Good;32580845
