Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:00:01.0;24584;Good;Good;13344256
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:00:07.1;24591;Good;Good;13344257
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:00:12.2;24592;Good;Good;13344258
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:00:17.3;24598;Good;Good;13344259
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:00:22.5;24599;Good;Good;13344260
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:00:32.7;24600;Good;Good;13344261
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:10.4;24603;Good;Good;13344262
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:16.6;24610;Good;Good;13344263
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:20.7;24613;Good;Good;13344264
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:25.8;24618;Good;Good;13344265
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:31.9;24622;Good;Good;13344266
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:37.0;24624;Good;Good;13344267
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:44.2;24630;Good;Good;13344268
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:48.3;24634;Good;Good;13344269
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:54.4;24635;Good;Good;13344270
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:03:59.5;24638;Good;Good;13344271
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:05.6;24641;Good;Good;13344272
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:09.8;24643;Good;Good;13344273
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:14.9;24646;Good;Good;13344274
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:21.0;24654;Good;Good;13344275
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:27.2;24661;Good;Good;13344276
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:32.3;24666;Good;Good;13344277
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:38.4;24670;Good;Good;13344278
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:43.5;24674;Good;Good;13344279
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:48.7;24679;Good;Good;13344280
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:53.8;24682;Good;Good;13344281
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:04:59.9;24690;Good;Good;13344282
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:05:05.0;24697;Good;Good;13344283
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:05:11.2;24700;Good;Good;13344284
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:05:17.3;24704;Good;Good;13344285
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:05:22.4;24709;Good;Good;13344286
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:05:26.5;24710;Good;Good;13344287
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:05:58.2;24711;Good;Good;13344288
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:04.3;24719;Good;Good;13344289
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:10.5;24720;Good;Good;13344290
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:15.6;24723;Good;Good;13344291
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:21.7;24726;Good;Good;13344292
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:25.8;24728;Good;Good;13344293
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:30.9;24731;Good;Good;13344294
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:37.0;24736;Good;Good;13344295
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:43.2;24741;Good;Good;13344296
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:49.3;24748;Good;Good;13344297
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:06:54.4;24754;Good;Good;13344298
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:00.6;24760;Good;Good;13344299
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:06.7;24766;Good;Good;13344300
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:10.8;24770;Good;Good;13344301
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:15.9;24772;Good;Good;13344302
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:22.0;24780;Good;Good;13344303
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:27.2;24784;Good;Good;13344304
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:33.3;24791;Good;Good;13344305
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:39.5;24799;Good;Good;13344306
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:44.6;24805;Good;Good;13344307
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:50.7;24811;Good;Good;13344308
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:07:55.8;24820;Good;Good;13344309
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:08:02.0;24822;Good;Good;13344310
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:08:07.1;24824;Good;Good;13344311
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:08:12.2;24825;Good;Good;13344312
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:08:18.3;24831;Good;Good;13344313
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:08:23.4;24836;Good;Good;13344314
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:08:29.5;24841;Good;Good;13344315
FRD_0596_CounterBadOut;Zähler Schlecht Auslauf;06-APR-21 00:08:34.7;24843;Good;Good;13344316
