Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:00:01.0;21716;Good;Good;24083739
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:00:07.1;21717;Good;Good;24083740
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:00:12.2;21718;Good;Good;24083741
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:05.3;21719;Good;Good;24083742
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:10.4;21720;Good;Good;24083743
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:16.6;21721;Good;Good;24083744
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:20.7;21725;Good;Good;24083745
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:31.9;21726;Good;Good;24083746
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:37.0;21728;Good;Good;24083747
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:48.3;21729;Good;Good;24083748
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:54.4;21730;Good;Good;24083749
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:03:59.5;21733;Good;Good;24083750
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:04:09.8;21739;Good;Good;24083751
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:04:14.9;21740;Good;Good;24083752
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:04:27.2;21743;Good;Good;24083753
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:04:32.3;21744;Good;Good;24083754
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:04:38.4;21745;Good;Good;24083755
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:04:43.5;21749;Good;Good;24083756
FRD_0596_CounterEjected;HOK ZA;06-APR-21 00:04:48.7;21757;Good;Good;24083757
