Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:00:01.0;796574;Good;Good;34185634
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:00:07.1;796604;Good;Good;34185635
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:00:12.2;796646;Good;Good;34185636
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:00:17.3;796698;Good;Good;34185637
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:00:22.5;796699;Good;Good;34185638
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:00:32.7;796708;Good;Good;34185639
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:00:37.8;796710;Good;Good;34185640
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:10.4;796748;Good;Good;34185641
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:16.6;796785;Good;Good;34185642
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:20.7;796842;Good;Good;34185643
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:25.8;796880;Good;Good;34185644
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:31.9;796923;Good;Good;34185645
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:37.0;797003;Good;Good;34185646
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:44.2;797042;Good;Good;34185647
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:48.3;797103;Good;Good;34185648
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:54.4;797144;Good;Good;34185649
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:03:59.5;797206;Good;Good;34185650
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:05.6;797243;Good;Good;34185651
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:09.8;797306;Good;Good;34185652
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:14.9;797344;Good;Good;34185653
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:21.0;797398;Good;Good;34185654
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:27.2;797438;Good;Good;34185655
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:32.3;797497;Good;Good;34185656
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:38.4;797535;Good;Good;34185657
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:43.5;797595;Good;Good;34185658
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:48.7;797633;Good;Good;34185659
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:53.8;797671;Good;Good;34185660
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:04:59.9;797708;Good;Good;34185661
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:05:05.0;797747;Good;Good;34185662
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:05:11.2;797809;Good;Good;34185663
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:05:17.3;797851;Good;Good;34185664
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:05:22.4;797912;Good;Good;34185665
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:05:26.5;797952;Good;Good;34185666
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:05:29.6;797958;Good;Good;34185667
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:05:58.2;797986;Good;Good;34185668
FRD_0596_CounterGood;Gute ZA;06-APR-21 00:06:04.3;798040;Good;Good;34185669
