Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:00:01.0;345;Good;Good;7394446
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:00:07.1;375;Good;Good;7394447
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:00:12.2;404;Good;Good;7394448
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:00:17.3;470;Good;Good;7394449
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:00:27.6;471;Good;Good;7394450
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:00:32.7;480;Good;Good;7394451
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:00:37.8;482;Good;Good;7394452
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:03:10.4;493;Good;Good;7394453
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:03:16.6;549;Good;Good;7394454
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:03:20.7;591;Good;Good;7394455
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:03:25.8;649;Good;Good;7394456
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:03:31.9;684;Good;Good;7394457
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:03:37.0;740;Good;Good;7394458
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:03:44.2;0;Good;Good;7394459
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:05:05.0;32;Good;Good;7394460
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:05:11.2;92;Good;Good;7394461
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:05:17.3;140;Good;Good;7394462
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:05:22.4;198;Good;Good;7394463
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:05:26.5;233;Good;Good;7394464
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:05:29.6;250;Good;Good;7394465
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:05:58.2;276;Good;Good;7394466
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:04.3;332;Good;Good;7394467
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:10.5;356;Good;Good;7394468
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:15.6;381;Good;Good;7394469
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:21.7;432;Good;Good;7394470
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:25.8;483;Good;Good;7394471
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:30.9;519;Good;Good;7394472
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:37.0;564;Good;Good;7394473
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:43.2;626;Good;Good;7394474
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:49.3;684;Good;Good;7394475
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:06:54.4;716;Good;Good;7394476
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:07:00.6;0;Good;Good;7394477
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:08:23.4;24;Good;Good;7394478
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:08:29.5;70;Good;Good;7394479
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:08:34.7;128;Good;Good;7394480
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:08:39.8;163;Good;Good;7394481
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:08:44.9;231;Good;Good;7394482
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:08:50.0;267;Good;Good;7394483
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:08:56.1;326;Good;Good;7394484
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:09:01.2;361;Good;Good;7394485
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:09:06.3;404;Good;Good;7394486
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:09:11.4;412;Good;Good;7394487
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:09:26.8;415;Good;Good;7394488
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:22:35.8;450;Good;Good;7394489
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:22:41.9;486;Good;Good;7394490
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:22:47.0;545;Good;Good;7394491
FRD_0596_CounterGoodOut2;Zähler Gut Auslauf 2;06-APR-21 00:22:53.1;593;Good;Good;7394492
