Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 00:41:59.5;0;Good;Good;106232
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 01:41:59.1;0;Good;Good;106233
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 02:41:59.0;0;Good;Good;106234
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 03:41:59.0;0;Good;Good;106235
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 04:41:58.5;0;Good;Good;106236
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 05:41:58.1;0;Good;Good;106237
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 06:41:57.2;0;Good;Good;106238
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 07:41:56.9;0;Good;Good;106239
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 08:41:56.6;0;Good;Good;106240
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 09:41:55.9;0;Good;Good;106241
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 10:41:55.5;0;Good;Good;106242
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 11:41:54.7;0;Good;Good;106243
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 12:41:54.0;0;Good;Good;106244
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 13:41:53.9;0;Good;Good;106245
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 14:41:53.4;0;Good;Good;106246
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 15:41:53.4;0;Good;Good;106247
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 16:41:53.2;0;Good;Good;106248
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 17:41:52.3;0;Good;Good;106249
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 18:41:51.7;0;Good;Good;106250
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 19:41:51.2;0;Good;Good;106251
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 20:41:51.0;0;Good;Good;106252
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 21:41:50.3;0;Good;Good;106253
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 22:41:49.5;0;Good;Good;106254
FRD_0596_CounterIPC2;Zähler IPC 2;06-APR-21 23:41:49.4;0;Good;Good;106255
