Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:00:01.0;886702;Good;Good;34431387
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:00:07.1;886738;Good;Good;34431388
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:00:12.2;886782;Good;Good;34431389
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:00:17.3;886839;Good;Good;34431390
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:00:22.5;886841;Good;Good;34431391
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:00:27.6;886842;Good;Good;34431392
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:00:32.7;886851;Good;Good;34431393
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:00:37.8;886853;Good;Good;34431394
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:10.4;886899;Good;Good;34431395
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:16.6;886938;Good;Good;34431396
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:20.7;887000;Good;Good;34431397
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:25.8;887042;Good;Good;34431398
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:31.9;887088;Good;Good;34431399
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:37.0;887172;Good;Good;34431400
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:44.2;887215;Good;Good;34431401
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:48.3;887280;Good;Good;34431402
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:54.4;887324;Good;Good;34431403
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:03:59.5;887389;Good;Good;34431404
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:05.6;887427;Good;Good;34431405
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:09.8;887492;Good;Good;34431406
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:14.9;887534;Good;Good;34431407
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:21.0;887597;Good;Good;34431408
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:27.2;887642;Good;Good;34431409
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:32.3;887706;Good;Good;34431410
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:38.4;887748;Good;Good;34431411
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:43.5;887814;Good;Good;34431412
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:48.7;887855;Good;Good;34431413
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:53.8;887898;Good;Good;34431414
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:04:59.9;887943;Good;Good;34431415
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:05:05.0;887988;Good;Good;34431416
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:05:11.2;888052;Good;Good;34431417
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:05:17.3;888098;Good;Good;34431418
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:05:22.4;888164;Good;Good;34431419
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:05:26.5;888205;Good;Good;34431420
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:05:29.6;888211;Good;Good;34431421
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:05:58.2;888240;Good;Good;34431422
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:04.3;888302;Good;Good;34431423
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:10.5;888332;Good;Good;34431424
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:15.6;888365;Good;Good;34431425
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:21.7;888413;Good;Good;34431426
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:25.8;888470;Good;Good;34431427
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:30.9;888515;Good;Good;34431428
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:37.0;888577;Good;Good;34431429
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:43.2;888624;Good;Good;34431430
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:49.3;888690;Good;Good;34431431
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:06:54.4;888734;Good;Good;34431432
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:00.6;888814;Good;Good;34431433
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:06.7;888856;Good;Good;34431434
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:09.8;888924;Good;Good;34431435
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:15.9;888967;Good;Good;34431436
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:22.0;889033;Good;Good;34431437
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:27.2;889076;Good;Good;34431438
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:33.3;889138;Good;Good;34431439
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:39.5;889182;Good;Good;34431440
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:44.6;889244;Good;Good;34431441
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:50.7;889290;Good;Good;34431442
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:07:55.8;889356;Good;Good;34431443
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:02.0;889400;Good;Good;34431444
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:07.1;889466;Good;Good;34431445
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:12.2;889509;Good;Good;34431446
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:18.3;889563;Good;Good;34431447
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:23.4;889598;Good;Good;34431448
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:29.5;889643;Good;Good;34431449
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:34.7;889707;Good;Good;34431450
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:39.8;889753;Good;Good;34431451
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:44.9;889814;Good;Good;34431452
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:50.0;889858;Good;Good;34431453
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:08:56.1;889922;Good;Good;34431454
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:09:01.2;889965;Good;Good;34431455
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:09:06.3;890004;Good;Good;34431456
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:09:11.4;890011;Good;Good;34431457
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:09:16.6;890012;Good;Good;34431458
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:09:26.8;890015;Good;Good;34431459
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:22:35.8;890058;Good;Good;34431460
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:22:41.9;890103;Good;Good;34431461
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:22:47.0;890168;Good;Good;34431462
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:22:53.1;890209;Good;Good;34431463
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:22:58.3;890281;Good;Good;34431464
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:03.4;890321;Good;Good;34431465
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:09.5;890383;Good;Good;34431466
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:14.6;890453;Good;Good;34431467
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:19.7;890500;Good;Good;34431468
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:24.8;890562;Good;Good;34431469
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:31.0;890604;Good;Good;34431470
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:36.1;890669;Good;Good;34431471
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:42.3;890712;Good;Good;34431472
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:47.4;890779;Good;Good;34431473
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:52.5;890821;Good;Good;34431474
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:23:57.7;890865;Good;Good;34431475
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:03.9;890931;Good;Good;34431476
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:09.0;890974;Good;Good;34431477
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:15.1;891039;Good;Good;34431478
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:20.2;891087;Good;Good;34431479
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:26.4;891153;Good;Good;34431480
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:31.5;891180;Good;Good;34431481
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:37.6;891218;Good;Good;34431482
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:42.7;891285;Good;Good;34431483
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:47.9;891352;Good;Good;34431484
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:24:54.0;891399;Good;Good;34431485
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:00.1;891461;Good;Good;34431486
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:05.2;891505;Good;Good;34431487
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:10.3;891550;Good;Good;34431488
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:16.4;891609;Good;Good;34431489
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:21.5;891652;Good;Good;34431490
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:26.6;891718;Good;Good;34431491
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:32.8;891763;Good;Good;34431492
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:37.9;891828;Good;Good;34431493
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:44.0;891871;Good;Good;34431494
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:49.2;891942;Good;Good;34431495
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:25:55.3;892000;Good;Good;34431496
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:00.4;892065;Good;Good;34431497
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:06.5;892107;Good;Good;34431498
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:12.7;892173;Good;Good;34431499
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:16.8;892217;Good;Good;34431500
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:21.9;892281;Good;Good;34431501
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:28.0;892327;Good;Good;34431502
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:33.1;892390;Good;Good;34431503
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:39.2;892433;Good;Good;34431504
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:44.3;892494;Good;Good;34431505
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:50.5;892539;Good;Good;34431506
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:26:56.6;892603;Good;Good;34431507
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:01.7;892648;Good;Good;34431508
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:06.8;892715;Good;Good;34431509
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:11.9;892758;Good;Good;34431510
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:17.1;892804;Good;Good;34431511
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:23.2;892846;Good;Good;34431512
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:28.3;892888;Good;Good;34431513
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:34.4;892953;Good;Good;34431514
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:39.5;892998;Good;Good;34431515
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:44.6;893064;Good;Good;34431516
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:50.8;893103;Good;Good;34431517
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:27:55.9;893150;Good;Good;34431518
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:28:00.0;893204;Good;Good;34431519
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:28:05.1;893205;Good;Good;34431520
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:28:11.2;893207;Good;Good;34431521
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:28:17.3;893208;Good;Good;34431522
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:28:22.5;893209;Good;Good;34431523
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:30:27.6;893210;Good;Good;34431524
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:30:33.7;893273;Good;Good;34431525
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:30:38.8;893316;Good;Good;34431526
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:30:43.9;893381;Good;Good;34431527
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:30:49.1;893427;Good;Good;34431528
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:30:55.2;893486;Good;Good;34431529
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:00.3;893529;Good;Good;34431530
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:06.4;893614;Good;Good;34431531
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:11.5;893653;Good;Good;34431532
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:16.6;893716;Good;Good;34431533
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:22.7;893755;Good;Good;34431534
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:27.9;893822;Good;Good;34431535
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:34.0;893868;Good;Good;34431536
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:40.1;893934;Good;Good;34431537
FRD_0596_CounterInsp;Inspizierte ZA;06-APR-21 00:31:45.2;893974;Good;Good;34431538
