Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 00:49:40.9;5;Good;Good;251735
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 01:49:40.6;5;Good;Good;251736
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 02:49:40.3;5;Good;Good;251737
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 03:49:40.2;5;Good;Good;251738
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 04:49:39.7;5;Good;Good;251739
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 05:49:39.6;5;Good;Good;251740
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 06:49:39.2;5;Good;Good;251741
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 07:49:38.4;5;Good;Good;251742
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 08:47:37.0;6;Good;Good;251743
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 09:47:36.4;6;Good;Good;251744
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 10:47:35.8;6;Good;Good;251745
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 11:24:08.6;7;Good;Good;251746
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 12:24:07.6;7;Good;Good;251747
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 13:04:19.4;0;Good;Good;251748
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:04:18.7;0;Good;Good;251749
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:21:57.4;1;Good;Good;251750
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:31:15.2;2;Good;Good;251751
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:31:26.4;3;Good;Good;251752
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:31:31.5;4;Good;Good;251753
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:32:53.3;5;Good;Good;251754
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:33:21.9;6;Good;Good;251755
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:33:33.2;8;Good;Good;251756
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:35:37.0;9;Good;Good;251757
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 14:56:32.6;10;Good;Good;251758
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 15:56:31.7;10;Good;Good;251759
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 16:18:53.9;11;Good;Good;251760
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 17:12:16.0;12;Good;Good;251761
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 18:12:15.7;12;Good;Good;251762
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 19:12:15.1;12;Good;Good;251763
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 20:12:15.0;12;Good;Good;251764
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 21:12:14.7;12;Good;Good;251765
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 22:12:13.8;12;Good;Good;251766
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 22:24:50.3;13;Good;Good;251767
FRD_0596_CounterUndevOut;Zähler undefiniert;06-APR-21 23:20:28.6;14;Good;Good;251768
