Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 00:53:26.0;2;Good;Good;338281
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 01:53:25.5;2;Good;Good;338282
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 02:53:25.2;2;Good;Good;338283
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 03:53:24.2;2;Good;Good;338284
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 04:53:23.9;2;Good;Good;338285
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 05:53:23.9;2;Good;Good;338286
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 06:53:23.2;2;Good;Good;338287
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 07:53:22.7;2;Good;Good;338288
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 08:53:22.0;2;Good;Good;338289
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 09:53:21.9;2;Good;Good;338290
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 10:53:21.6;2;Good;Good;338291
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 11:53:21.0;2;Good;Good;338292
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 12:53:20.0;2;Good;Good;338293
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 13:04:19.4;0;Good;Good;338294
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 14:04:18.7;0;Good;Good;338295
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 15:04:17.7;0;Good;Good;338296
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 16:04:16.9;0;Good;Good;338297
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 17:04:16.1;0;Good;Good;338298
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 18:04:16.0;0;Good;Good;338299
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 19:04:15.4;0;Good;Good;338300
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 20:04:14.9;0;Good;Good;338301
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 21:04:14.6;0;Good;Good;338302
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 22:04:14.2;0;Good;Good;338303
FRD_0596_PisPosBot;Stopfenposition von unten;06-APR-21 23:04:13.9;0;Good;Good;338304
