Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:03:10.4;1957;Good;Good;1735411
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:04:14.9;1958;Good;Good;1735412
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:04:59.9;1959;Good;Good;1735413
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:06:30.9;1960;Good;Good;1735414
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:07:00.6;1961;Good;Good;1735415
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:08:07.1;1962;Good;Good;1735416
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:08:23.4;1963;Good;Good;1735417
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:08:44.9;1964;Good;Good;1735418
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:23:42.3;1965;Good;Good;1735419
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:25:44.0;1966;Good;Good;1735420
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:26:12.7;1967;Good;Good;1735421
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:26:56.6;1968;Good;Good;1735422
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:27:11.9;1969;Good;Good;1735423
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:27:39.5;1970;Good;Good;1735424
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:31:06.4;1971;Good;Good;1735425
FRD_0596_PisSidChiCrack;Chips  & Cracks im Stopfenbereich;06-APR-21 00:31:40.1;1972;Good;Good;1735426
