Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:00:08.1;20,60547;Good;Good;201900279
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:00:09.1;20,43547;Good;Good;201900280
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:00:28.6;20,44633;Good;Good;201900281
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:00:29.6;20,14974;Good;Good;201900282
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:01:08.5;20,18953;Good;Good;201900283
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:01:09.5;20,3559;Good;Good;201900284
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:01:27.9;20,33782;Good;Good;201900285
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:01:29.9;20,25825;Good;Good;201900286
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:01:50.4;20,35229;Good;Good;201900287
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:02:23.2;20,43186;Good;Good;201900288
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:02:47.9;20,44633;Good;Good;201900289
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:02:50.0;20,5259;Good;Good;201900290
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:04:07.7;20,46441;Good;Good;201900291
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:04:08.7;20,68504;Good;Good;201900292
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:04:48.7;20,72844;Good;Good;201900293
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:04:49.7;21,07566;Good;Good;201900294
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:05:09.1;21,1263;Good;Good;201900295
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:05:28.5;21,18056;Good;Good;201900296
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:05:29.6;20,95631;Good;Good;201900297
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:05:47.9;20,94907;Good;Good;201900298
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:05:49.0;21,26013;Good;Good;201900299
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:06:08.4;21,31076;Good;Good;201900300
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:06:09.4;21,69054;Good;Good;201900301
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:06:27.8;21,70139;Good;Good;201900302
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:06:28.9;21,48799;Good;Good;201900303
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:06:48.3;21,47714;Good;Good;201900304
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:06:50.3;21,70862;Good;Good;201900305
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:07:08.7;21,65075;Good;Good;201900306
FRD_0598_MCIR0903_1;Luftfeuchtigkeit Panel-Isolator;06-APR-21 00:07:10.8;21,49523;Good;Good;201900307
