Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 00:57:36.5;0,02025463;Good;Good;66507608
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 01:57:36.2;0,02025463;Good;Good;66507609
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 02:57:35.7;0,02025463;Good;Good;66507610
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 03:57:35.0;0,02025463;Good;Good;66507611
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 04:57:34.4;0,02025463;Good;Good;66507612
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 05:57:34.0;0,02025463;Good;Good;66507613
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 06:57:33.8;0,02025463;Good;Good;66507614
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 07:57:32.9;0,02025463;Good;Good;66507615
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 08:57:32.7;0,02025463;Good;Good;66507616
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 09:57:32.5;0,02025463;Good;Good;66507617
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 10:57:31.6;0,02025463;Good;Good;66507618
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 11:57:31.4;0,02025463;Good;Good;66507619
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 12:57:30.6;0,02025463;Good;Good;66507620
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 13:57:29.6;0,02025463;Good;Good;66507621
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 14:57:28.8;0,02025463;Good;Good;66507622
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 15:57:27.9;0,02025463;Good;Good;66507623
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 16:57:26.9;0,02025463;Good;Good;66507624
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 17:37:26.5;0,02025463;Good;Good;66507625
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 17:37:27.5;0,01880787;Good;Good;66507626
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 17:37:28.5;0,02025463;Good;Good;66507627
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 18:37:27.8;0,02025463;Good;Good;66507628
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 19:37:27.4;0,02025463;Good;Good;66507629
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 20:37:27.1;0,02025463;Good;Good;66507630
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 21:37:26.7;0,02025463;Good;Good;66507631
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:38.9;0,02025463;Good;Good;66507632
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:39.9;0,02314815;Good;Good;66507633
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:40.9;0,1229745;Good;Good;66507634
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:41.9;0,1765046;Good;Good;66507635
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:43.0;0,2777778;Good;Good;66507636
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:44.0;0,3298611;Good;Good;66507637
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:45.0;0,3284144;Good;Good;66507638
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:46.0;0,4311343;Good;Good;66507639
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:48.1;0,5338541;Good;Good;66507640
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:49.1;0,5859375;Good;Good;66507641
FRD_0598_SSA0931;Luftgeschwindigkeit H2O2;06-APR-21 22:19:51.1;0,5859375;Good;Good;66507642
