Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 00:16:28.3;18,29789;Good;Good;183011337
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 00:34:52.7;18,39554;Good;Good;183011338
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 01:26:17.3;18,29789;Good;Good;183011339
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 02:01:12.1;18,20385;Good;Good;183011340
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 03:01:11.4;18,15321;Good;Good;183011341
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 03:14:38.8;18,24725;Good;Good;183011342
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 03:45:08.4;18,1496;Good;Good;183011343
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 04:19:42.3;18,24725;Good;Good;183011344
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 04:36:07.6;18,15321;Good;Good;183011345
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 04:48:21.0;18,25087;Good;Good;183011346
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 05:20:42.5;18,15321;Good;Good;183011347
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 06:20:42.1;18,13513;Good;Good;183011348
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 07:20:42.1;18,12066;Good;Good;183011349
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 08:20:41.1;18,08811;Good;Good;183011350
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 08:40:04.2;18,18576;Good;Good;183011351
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 09:19:28.2;18,09172;Good;Good;183011352
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 10:19:28.1;18,06641;Good;Good;183011353
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 10:33:38.4;18,16406;Good;Good;183011354
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 11:24:18.8;18,26172;Good;Good;183011355
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 11:47:28.3;18,35576;Good;Good;183011356
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 12:35:45.2;18,2581;Good;Good;183011357
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 12:54:06.0;18,35576;Good;Good;183011358
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 13:03:29.4;18,2581;Good;Good;183011359
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 14:03:28.6;18,20385;Good;Good;183011360
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 14:09:56.2;18,3015;Good;Good;183011361
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 14:34:12.0;18,20385;Good;Good;183011362
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 14:51:46.3;18,3015;Good;Good;183011363
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 15:08:46.6;18,20385;Good;Good;183011364
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 15:39:28.3;18,3015;Good;Good;183011365
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 15:51:49.9;18,20385;Good;Good;183011366
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 16:51:49.1;18,29427;Good;Good;183011367
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 17:13:02.0;18,19662;Good;Good;183011368
FRD_0598_TCIR0902_1;Istwert Temperatur Isolator;06-APR-21 17:45:16.1;18,29427;Good;Good;183011369
