Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 00:02:53.0;0;Good;Good;91704
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 01:02:52.7;0;Good;Good;91705
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 02:02:52.3;0;Good;Good;91706
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 03:02:51.6;0;Good;Good;91707
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 04:02:51.3;0;Good;Good;91708
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 05:02:50.4;0;Good;Good;91709
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 06:02:50.2;0;Good;Good;91710
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 07:02:50.0;0;Good;Good;91711
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 08:02:49.1;0;Good;Good;91712
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 09:02:48.2;0;Good;Good;91713
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 10:02:47.7;0;Good;Good;91714
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 11:02:47.6;0;Good;Good;91715
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 12:02:47.6;0;Good;Good;91716
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 13:02:47.4;0;Good;Good;91717
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 14:02:46.6;0;Good;Good;91718
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 15:02:46.4;0;Good;Good;91719
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 16:02:45.9;0;Good;Good;91720
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 17:02:45.1;0;Good;Good;91721
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 18:02:44.9;0;Good;Good;91722
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 19:02:44.3;0;Good;Good;91723
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 20:02:44.0;0;Good;Good;91724
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 21:02:43.2;0;Good;Good;91725
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 22:02:42.5;0;Good;Good;91726
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 22:16:36.2;32;Good;Good;91727
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 22:16:46.5;0;Good;Good;91728
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 22:18:15.8;32;Good;Good;91729
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 22:19:35.6;33;Good;Good;91730
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 22:22:36.7;34;Good;Good;91731
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 22:55:49.3;35;Good;Good;91732
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 22:58:50.4;36;Good;Good;91733
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 23:39:35.7;37;Good;Good;91734
FRD_0599_X_Schritt_Bio;Schrittanzeige: Phase Biodeko;06-APR-21 23:42:36.0;38;Good;Good;91735
