,Line,2021-04-15 00:00:00,2021-05-13 00:00:00,2021-06-10 00:00:00,2021-07-08 00:00:00,race_time,prev_race_time,Plant,position,gap_to_leader,prev_position,Gain/Loss,interval,OEE  Start point,⇗ OEE% progress,OEE% Target (2022)
0,GAMMA1,89.15356260880202,69.32576738406046,68.22675644176566,89.97919386951025,316.68528030413836,226.7060864346281,SCOPPITO,1,0.0,1,0,,0.4186832574795588,0.08514847794440161,0.5700000000000001
1,IMA C80/2,88.91025183672734,69.25652201212475,75.23269315050706,89.67411258749307,323.0735795868522,233.39946699935913,SCOPPITO,2,6.388299282713831,2,0,6.388299282713831,0.4510313865295862,0.04336461191351659,0.58
2,L18 Packaging Line,88.84729870221246,74.2267036185819,89.4079962040941,89.42532700417411,341.9073255290626,252.48199852488847,Tours,3,25.222045224924216,3,0,18.833745942210385,0.377682561261701,0.08617333087127227,0.547
3,L25 Packaging Line,88.84977488032595,74.90884176802737,90.01197883633043,89.86260062479465,343.6331961094784,253.77059548468375,Tours,4,26.947915805340017,4,0,1.7258705804158012,0.3515638108428969,0.00161339722682885,0.478
4,M22 Filling,88.95398272445796,81.80634523279083,84.85767031590619,89.52248771922937,345.14048599238436,255.61799827315497,Frankfurt,5,28.455205688245996,5,0,1.5072898829059795,0.5300679047300774,0.1202803042521402,0.65
5,M21 Filling,89.24871235062864,83.74237770311667,84.76718092710024,89.76082496188289,347.5190959427284,257.75827098084557,Frankfurt,6,30.833815638590067,6,0,2.378609950344071,0.5996714418550643,0.02200617376220437,0.65
6,M18 Filling,89.96046484622426,82.59617419552187,85.44623248586855,90.97913715800746,348.98200868562213,258.0028715276147,Frankfurt,7,32.296728381483774,7,0,1.4629127428937068,0.4435220172822657,-0.01005719696553392,0.65
7,AL6,89.13784639747155,90.32304377570023,84.20559790303417,89.90214384529565,353.5686319215016,263.66648807620595,Frankfurt,8,36.883351617363246,8,0,4.586623235879472,0.3326567108433734,0.07854091132015206,0.45
8,SUPPO Packaging Line,88.58537855344666,89.60481089476718,89.90475462235985,89.31850225216407,357.4134463227378,268.0949440705737,Lisieux,9,40.72816601859944,10,1,3.8448144012361922,0.353020830480625,-0.01067630080596588,0.53
9,LINE 01 - UHLMANN 1880,89.96046484622426,88.52549743302832,89.63684712032664,89.54748342131538,357.6702928208946,268.12280939957924,SUZANO,10,40.98501251675623,11,1,0.25684649815678995,0.4278544696362875,0.01508458063802992,0.65
10,TR200 Packaging Line,88.71040711892347,89.59116432895655,89.3819414159061,90.5296337898342,358.2131466536203,267.6835128637861,Lisieux,11,41.52786634948194,9,-2,0.5428538327257115,0.4835047030277628,0.1209258903573743,0.65
11,MEDISEAL PURAN,89.96046484622426,89.01999598349529,89.83825599886204,89.97153862113215,358.79025544971375,268.8187168285816,SUZANO,12,42.104975145575395,12,0,0.5771087960934551,0.592205529005292,-0.02516453759175286,0.65
12,AL5 Packaging 1,89.24871235062864,89.72575436709944,90.49500352514,89.55994592462767,359.0294161674958,269.4694702428681,Frankfurt,13,42.34413586335745,14,1,0.23916071778205605,0.4796929910210168,-0.1874731835680654,0.5
13,C9 Packaging Line,89.0212714037509,89.74784125018499,90.36148811703448,90.13080359394394,359.2614043649143,269.1306007709704,Maisons-Alfort,14,42.57612406077595,13,-1,0.2319881974185023,0.5285179030297434,-0.01949230278737413,0.53
14,C2 Packaging Line,88.95268187450904,90.45187443366692,90.261138222436,90.62294204191628,360.2886365725283,269.665694530612,Maisons-Alfort,15,43.603356268389916,15,0,1.027232207613963,0.3975028653085158,0.01219299889192021,0.47
