,Line,2021-04-15 00:00:00,2021-05-13 00:00:00,2021-06-10 00:00:00,2021-07-08 00:00:00,race_time,prev_race_time,Plant,position,gap_to_leader,prev_position,Gain/Loss,interval,OEE  Start point,⇗ OEE% progress,OEE% Target (2022)
0,L18 Packaging Line,88.84990034490356,89.42670361858188,89.4079962040941,88.36423711038417,356.04883727796374,267.68460016757956,Tours,1,0.0,1,0,,0.377682561261701,0.08617333087127227,0.547
1,TR200 Packaging Line,88.71300876161459,89.59116432895655,89.38194350309554,88.70421068322963,356.3903272768963,267.68611659366667,Lisieux,2,0.34148999893255905,2,0,0.34148999893255905,0.4835047030277628,0.1209258903573743,0.65
2,IMA C80/2,88.91285347941846,89.65652201212474,89.73269315050706,88.42079921182484,356.7228678538751,268.30206864205024,SCOPPITO,3,0.6740305759113312,4,1,0.33254057697877215,0.4510313865295862,0.04336461191351659,0.58
3,SUPPO Packaging Line,88.58798019613778,89.61282106800387,89.99214581726564,88.66010175820357,356.85304883961084,268.1929470814073,Lisieux,4,0.8042115616470937,3,-1,0.13018098573576253,0.353020830480625,-0.01067630080596588,0.53
4,GAMMA1,89.15616425149314,89.72576738406046,89.92675644176566,88.35525884145713,357.16394691877645,268.8086880773193,SCOPPITO,5,1.1151096408127046,5,0,0.31089807916561085,0.4186832574795588,0.08514847794440161,0.5700000000000001
5,M22 Filling,88.95658436714906,89.80634523279083,90.0576703159062,88.3642735334797,357.1848734493258,268.82059991584606,Frankfurt,6,1.1360361713620364,6,0,0.0209265305493318,0.5300679047300774,0.1202803042521402,0.65
6,L25 Packaging Line,88.85237652301707,90.10884176802736,90.01197883633043,88.5240363412863,357.4972334686612,268.9731971273749,Tours,7,1.4483961906974514,7,0,0.312360019335415,0.3515638108428969,0.00161339722682885,0.478
7,C9 Packaging Line,89.08085261416711,89.85375361314752,90.38323573811695,88.40496741520212,357.72280938063375,269.3178419654316,Maisons-Alfort,8,1.6739721026700067,9,1,0.22557591197255533,0.5285179030297434,-0.01949230278737413,0.53
8,AL6,89.14044804016267,90.32304377570023,89.80559790303418,88.53162630516765,357.80071602406474,269.2690897188971,Frankfurt,9,1.7518787461009993,8,-1,0.07790664343099252,0.3326567108433734,0.07854091132015206,0.45
9,AL5 Packaging 1,89.51615324785463,89.73877368230929,90.61365612818942,88.29455733562577,358.1631403939791,269.86858305835335,Frankfurt,10,2.1143031160153782,11,1,0.362424369914379,0.4796929910210168,-0.1874731835680654,0.5
10,C2 Packaging Line,88.95528351720014,90.45187443366692,90.261138222436,88.501620158214,358.1699163315171,269.6682961733031,Maisons-Alfort,11,2.1210790535533306,10,-1,0.006775937537952359,0.3975028653085158,0.01219299889192021,0.47
11,M21 Filling,89.63613169868867,91.58417192447368,89.97664521281453,88.38327384306237,359.58022267903925,271.19694883597685,Frankfurt,12,3.531385401075511,12,0,1.4103063475221802,0.5996714418550643,0.02200617376220437,0.65
12,M18 Filling,89.96306648891537,90.59617419552187,90.64623248586854,88.90313417830909,360.10860734861484,271.20547317030577,Frankfurt,13,4.059770070651098,13,0,0.5283846695755869,0.4435220172822657,-0.01005719696553392,0.65
